Location,Description
Balesin Island,Balesin Island Club Balesin Island is among the most popular tourist spots in Quezon province It covers around     hectares with beautiful coastlines featuring white sand beaches The island however is only for members as it is a luxury resort To become a member you have to afford the starting fee which is Php   million But you do not have to spend that kind of amount since there are budget friendly options out there Balesin Island is one of the best tourist spots in Quezon Province a     hectare island paradise with a     kilometers long stretch of pristine white sand beaches The island is considered as one of the most luxurious island resort in the Philippines open only for its members It has breath taking beaches interesting landscapes fabulous villas with beautiful interior designs delicious cuisine and top notch facilities Dozens of things to do here like horseback riding bird watching kayaking paddle boating sailing scuba diving surfing and more Balesin Island is located    kilometers southeast of Polillo Quezon Province This is an island paradise for the rich people only membership fee starts from   Million Pesos Love it or hate it but this     hectare piece of Paradise Island located    kilometers on the southeastern part of Polillo Quezon Province is open for members only However if you ever get this lifetime opportunity to be there youíll get undone just by the myriad of activities dining experience luxurious villas and amenities in store for you and your company Not to mention get the chance to capture in photos those virgin white sand beaches clear blue skies and sea water lush landscape all around you and luxury
Kamay ni Hesus Shrine,Kamay ni Hesus Shrine If you are after a memorable pilgrimage experience especially during the Lenten season you might want to visit Kamay ni Hesus Shrine There is regular healing mass offered here On a hill you will find a   feet statue of Jesus Christ From here you will also catch a panoramic view of the surrounding landscapes including Mt Banahaw It is one of the most frequented tourist spots in Quezon province Another iconic destination in Quezon Province is the Kamay ni Hesus Shrine a popular pilgrimage destination in Luzon People who needs to pray for healing come to Kamay ni Hesus Chruch to attend the healing mass At the top of the hill stands a    feet statue of Ascending Jesus Christ which also gives a bird eye view of the place It would need around     steps to reach the top One can also see other statues and replicas mentioned in the Bible like the Noahís Ark Adam and Eve Garden of Even The Last Supper and more Kamay ni Hesus is a popular tourist destination in Quezon The church is claimed to be a healing church which means devotees believe that healing prayers come true here in Kamay ni Hesus The place is really perfect for spiritual and physical nourishment nature will take away the stress meditation walking allows you to find inner strength and peace and climbing up allows you to build physical endurance
Villa Escudero,Villa Escudero Eating your meals before a restaurant would be a unique experience right Well you can try that at Villa Escudero which hosts the iconic Labasin Falls Although it has it is a man made resort the sceneries here are rustic It will make you feel like you are in a jungle setting Other exciting things to do here are bamboo rafting swimming and trekking There is also a huge museum featuring artifacts that showcase the rich cultural heritage and history of the Philippines Villa Escudero is one of the iconic tourist spots in Quezon though a part of it falls under the border of the nearby province It is a     hectares of working coconut plantation which opens its doors to public and making it as a resort It showcases Philippineís country life customs cultural heritage and cuisine There are many things to do here like visiting its large museum rich in various artifacts bamboo rafting in the still rivers and swim in their swimming pools   infinity pool But the centerpiece of this resort is its waterfall restaurant Enjoy local cuisine in a handmade bamboo tables while the refreshing clear spring waters runs over your feet from the Labasin Falls Located in Tiaong Quezon this estate has a restaurant next to a waterfall traditional style accommodations a swimming pool a museum and everything youíll need for a relaxing overnight stay or day trip Take a leisurely walk around ride the carabao cart or go on a bamboo raft ride to enjoy nature Taste delicious Filipino food and drinks after a day of activities There are also cultural shows that showcase the best of traditional dances from different parts of the country Day tours are from P     to P     rates vary depending on weekday weekend or holiday trips
Minor Basilica of Saint Michael the Archangel,Minor Basilica of Saint Michael the ArchangelThe Minor Basilica of Saint Michael the Archangel is a century old masterpiece built during the Spanish times It features a Baroque style of architecture and is one of the most visited pilgrimage sites in Quezon The locals dub it as The Key of Tayabas ù because the church blueprint resembles a key Inside the church you will find Neo classical altars It has a historical clock one of the largest and oldest church clocks in Asia attached to the belfry Located in Tayabas City the Minor Basilica of St Michael the Archangel is the biggest Roman Catholic Church in the entire Province of Quezon Tourists who visit Tayabas whether secular or Catholic come to see this uniquely designed Basilica that was constructed during the Spanish colonial era Built in the year      the church is famous for its longest isle and huge century old church bells Like most of the churches in the Philippines during the Spanish colonial era the first church of Tayabas was made of indigenous materials In      the church was constructed under the supervision of franciscan friars with St Michael the Archangel as its designated Patron Saint in      the church was repaired under the supervision of St Pedro Bautista in      the church was rebuilt using bricks but it was later destroyed by the      earthquake In a few years the church was again rebuilt into a bigger one to accommodate the growing number of worshippers in the province It was once again expanded in      with the addition of the transept and copula and in      the brick tile roof was replaced with galvanized iron sheets On October         the title Minor Basilica was conferred by Pope John Paul II It was proclaimed on January        
Puting Buhangin (Kwebang Lampas),Puting Buhangin Kwebang Lampas Tara na sa Lalawigan ng QuezonPuting Buhangin literally means white sands Unlike in other famous beaches in Quezon province the sands here are cleaner and whiter Located on the coast of Pagbilao Grande Island Puting Buhangin is accessible from Borawan Beach via a      minute boat ride There are available nipa huts where you can have your meals as you gaze on the magnificent view of the beach and sea we found an itinerary for Kwebang Lampas and Puting Buhangin Its beauty was intriguing because of its fine white sand shoreline crystal clear waters and the ambiance seems to be relaxing ambiance seems to be relaxing Situated in Padre Burgos a four to five hours land travel from Manila this destination is considered as one of the gems of the province of Quezon Some of the things that endeared us to Puting Buhangin during our initial visit was its pristine white sand the verdant vegetation surrounding the beach and the crystal clear aquamarine and turquoise waters
Cabag Cave,Lucsuhin Natural Bridge locally called Cabag Cave or Lucsuhin Cave is a natural bridge located between Lucsuhin and Kalubkob in Silang Cavite province in the Philippines The bridge which crosses the Ylang Ylang River is the first large natural bridge reported in the country Activities Trekking There is a short trek towards the cave It is about      mins trek only Swimming At the mouth of the cave there is a natural pool where you can plunge into Please avoid diving for the depths of the water is varying You will never know where is the deep part or the shallow part Also there are rocks under the water that may cause accidents Bat sightings There are fruit bats inhabiting the cave They have their nests at the ceiling of the cave Just be careful not to disturb the bats so they will not roam around the cave while you are passing through Do not panic they do not attack nor bite people The place could be found at the bottom of the slope which runs down a steep angle to a brook Lush greenery surround this little valley where at its bottom corner one could find the Cabag Cave where clear water strongly flows out Inside the cave an underground river flows and runs for about    meters inward A pool of water is formed immediately of the mouth of the cave which leads to the brook Fond of underground rivers Cabag cave in Maragondon has a    meter long underground river The mouth of the cave permits water to fall graciously towards a brook forming like a swimming pool This natural wonder is beautified with the foliage surrounding the mouth of the cave and the pool of refreshing water Cavite is known for a lot of historical accounts and the infamous Tagaytay ridge Apart from that the province also boasts of caves and falls some more of natural attractions Every cave has a story People find it quite an adventure to explore caves while there are some who find the idea a bit creepy particularly if oneís claustrophobic
Pico de Loro,Mount Pico de Loro also known as Mount Palay Palay is a dormant volcano in Cavite province on the island of Luzon Philippines The mountain rises to an elevation of     m above mean sea level and is the highest peak of the Mounts Palay Palay Mataas na Gulod Protected Landscape The mountain is one of the ancient volcanic features of Bataan Arc Dubbed as the ìParrotís Peak î Pico De Loro is must try hiking destination in Cavite From a vantage point it does resemble the shape of a parrotís beak thus the name Itís up to you though whether you view it as such once you see it It is also Caviteís highest point and it takes a challenging ascent to reach its peak Itís best to visit the peak during the early morning to catch a breathtaking view of the sunrise and occasional sea of clouds Besides you donít have to endure the simmering midday heat while climbing Mount Pico De Loro also known as Mount Palay Palay is a dormant volcano in Cavite province on the island of Luzon Philippines The mountain is one of the ancient volcanic features of Bataan Arc Pico de loro was first named by Spanish sea farers which means Parrot Beak as it has it is pointed summit resembles the shape of parrot beak from afar and it is commonly used a signal by sea farer to turn east to get to Manila Bay
Corregidor Island,Corregidor Island rocky island strategically located at the entrance of Manila Bay just south of Bataan province Luzon Philippines It is a national shrine commemorating the battle fought there by U S and Filipino forces against overwhelming numbers of Japanese during World War II Before the Philippines succumbed to Japanese invasion in World War II brave American and Filipino set their last stronghold in Corregidor Island Fierce battles took place here and the Japanese relentlessly bombed the island until the defenders finally surrendered Today the island is a monument where you can find artilleries and other materials signifying the war Itís one of the best historical tourist spots in Cavite Travel back in time and discover the rich history of the Philippines at one of the countryís iconic war memorial sites Corregidor Island Located at the entrance of Manila Bay Corregidor Island was one of the Filipino forcesí main fortified locations during the wars especially World War II Tour the island on board a tram and hear stories dating as far back as the Spanish Era to stories about American and Filipino defenders to battles out at sea and more during your trip Learn the role Corregidor played during the Japanese invasion in the Philippines as one of the last strongholds of the country Pass by the Malinta Tunnel Corregidor Islandís storage space and personnel bunker during the war After your exploration of the island enjoy a delicious buffet lunch at Topside Garden Venue The tour comes with round trip ferry transfers to and from Manila by Sun Cruises allowing you to enjoy the beauty of the bay as you travel
Balite Falls,Balite Falls is a privately owned resort A     meter road from Crisanto Delos Reyes Avenue is the only access to this falls and is accessible to any type of vehicle The resort is not a top notch class resort yet is one of the nearest waterfall spot for the people of Cavite and those coming from Manila From Manila it is only about an hour and a half drive along the Cavite Expressway Cottages are available along the side of the stream and small overnight hostel is available as well as a bar However when I was there it seems that the bar is no longer available except for a karaoke machine The place is suggested to be a good picnic area but not a place that would be good to stay overnight Amenities are not that top notch There is only a single restroom for the whole resort and   dressing rooms There is no shower room as the area already has natural fresh water flowing from the pipes along the side of the stream which can be used as a shower The water from the catch basin of the falls was artificially blocked by sand bags to maintain the basin with sufficient water for swimming The bad thing about it is that because it is blocked and it takes time before the water to flow freely to the stream the catch basin water tends to be murky when more people are there Anchovies and tadpoles swim along with you Not in great numbers though And this is also one of the effects when you block a natural waterway the fishes tend to stay in one place as well The falls itself is a beauty Not something you expect as a big waterfall as it can be safely said that Balite Falls is more of a stream as the area to where it is located is a plain land There are no mountains nearby Just right where the falls fall from the rock is a deep area A rope line has been placed by the management to warn people that if you go beyond that rope and get near the falls is already    feet deep Entrance fee is a bit of a turn off With few amenities that the resort can offer it charges P   per person for   years old and above Much more expensive than Sto Nino Cold Spring at Camiguin to which this resort is almost similar that costs only P   pax for an entrance fee The verdict is that Balite Falls is an ample spot for people who are on a budget and would like to swim or a have a picnic get together with your family and friends if you happen to just had been to Tagaytay City Balite Falls is one of the newly discovered hidden tourist spots in Cavite Itís a small waterfall roughly    feet high But it has an entrancing pool with crystal clear waters If youíre up for a thrill try jumping from the top of the falls to the pool Just make sure youíre an expert swimmer Balite Falls is nestled in a simple but clean and peaceful resort in the town of Amadeo The latter is famous for its coffee many coffee shops get their supply of beans from this town A stream running through the resort drops down on a small shallow pool before cascading down into a larger and deeper pool at another lower level The two waterfalls thus formed are the centerpiece of the resort The waters of the stream and falls are relatively clean The resort is covered in lush vegetation and is ideal for picnics or a quiet getaway When we arrived on the morning of our first visit there were just a few people around most of them preparing for a picnic and fewer still taking a dip in the pool As noon approached however the place started to get more visitors The warm and courteous hosts told us that the place really fills up during the summer
Tagaytay Ridge,Mount Sungay is the eastern end of the Tagaytay Range or more commonly known as the Tagaytay Ridge a    kilometre ridge located at the southern part of the province with elevations averaging about     m above sea level The ridge stretches west southwest from Mount Sungay to Mount Batulao in Batangas province The ridge which overlooks Taal Lake in Batangas province is actually the northern rim of Taal Caldera The wide cavity of the ancient volcano is partially filled by Taal Lake with Taal Volcano the second most active volcano in the country situated near the middle of the lake The northern slope of the ridge is gently rolling down slope till it reaches the sea level at Manila Bay in contrast to the rapid drop in its southern slopes and east of Mount Sungay At some places on the lakeside appear great escarpments of    m and more of altitude that are almost vertical as at Mahabangato in Barangay Banga and at Balitbiring in Barangay Caloocan in Talisay Batangas Tagaytay Ridge is part of the upland mountainous area of the province of Cavite which include the communities of Tagaytay Silang Amadeo Mendez Alfonso Indang and southern part of Maragondon The municipalities are situated at elevations above     meters with slopes of more than   Famed Tagaytay Ridge one of the most popular attractions outside of Metro Manila entices with one of the most unforgettable vistas the Taal Lake and Volcano Island A mere    kilometers south of Manila Tagaytay Ridge was once the caldera of an old volcano which rose some      to      meters high As a result of a powerful eruption many years ago a new volcano Taal rose from the center of the lake Taal is considered one of the smallest volcanoes in the world but one of the most active From the ridge look down onto Taal Volcano with its tiny crater rising from a lake which is the crater of a large volcano now extinct Down below take a glimpse of fishing villages on the lake shores One of the most curious vistas of the world Tagaytay Ridge affords you a view of the Taal Lake and the Taal Volcano essentially a lake within a volcano This volcano considered the lowest and smallest is by no means the tamest It has a very prolific history of violent eruptions Wrapping the City of Tagaytay on its south and east in the folds of emerald green vegetation lies the Tagaytay Ridge
Puzzle Mansion,The Puzzle Mansion is a museum in Tagaytay Cavite Philippines which hosts a collection of jigsaw puzzle which from      to      was recognized to be the biggest in the world according to Guinness If youíre a fan or if youíre familiar with Gina Lacuna then you come here to see here She holds the record for owning the biggest collection of puzzles That listed her to the Guinness Book of World Records in      The museum houses more than       puzzle collections and counting The Puzzle Mansion is a museum where you can find the record breaking puzzle collection of Gina Gil Lacuna who is a Guinness world record holder for the largest collection of jigsaw puzzles in the world The Puzzle Mansion is a museum where you can find the record breaking puzzle collection of Gina Gil Lacuna who is a Guinness world record holder for the largest collection of jigsaw puzzles in the world
Gen. Emilio Aguinaldo Shrine,The Emilio Aguinaldo Shrine is a national shrine located in Kawit Cavite in the Philippines where the Philippine Declaration of Independence from Spain was declared on June           To commemorate the event now known as Araw ng Kalayaan or Independence Day a national holiday the Philippine flag is raised here by top government officials on June    each year The house is now a museum The Museo ni Emilio Aguinaldo s collection covers a variety of museum objects The ground level of the house is a permanent exhibit on the role of Cavite during the revolution It presents the life of the general Cavite during the Spanish colonial period and the revolution against Spain until the proclamation of independence on June         It also covers the aftermath of the revolution until the Philippines war against the United States The second level is the living space of the house Similar to the traditional bahay na bato structure of the   th century the living room the bedrooms dining area and kitchen can all be found in this level These rooms house   th century and early   th century furniture and details of the art nouveau and art deco period of the past Notable are the mesa altar large dining table Ah Tay bed and secret compartments oblivious to regular guests Emilio F Aguinaldo Shrine located in Kawit Cavite is one of the most iconic and historic landmarks in the country The shrine is the ancestral mansion of the first president of the Philippines General Emilio F Aguinaldo Known as the House of History this is where the Philippine Independence was declared by President Aguinaldo on June         The Philippine flag was first waved in public from a window of the grand hall The national anthem of the country was also played for the first time during the declaration of independence Aguinaldo donated the mansion to the government to perpetuate the spirit of the Philippine Revolution of      that put an end to Spanish colonization of the country The house was made a National Shrine by the government after Aguinaldo death in     
Imus Cathedral,The Diocesan Shrine and Parish of the Our Lady of the Pillar Imus Cathedral commonly known as the Imus Cathedral is a Roman Catholic cathedral church in the city of Imus in the province of Cavite Philippines The city which is the capital of the province also serves as the seat of the bishop of the Diocese of Imus the diocese that has jurisdiction over the entire Civil Province of Cavite Enshrined inside the cathedral is the original miraculous and canonically crowned image of Nuestra Senora del Pilar de Imus Our Lady of the Pillar The said title of the Blessed Virgin Mary serves as the titular patroness of the Diocese of Imus Province of Cavite as implied by then pope now a saint John XXIII John the Baptist is also considered the secondary patron saint of the city The current parish priest and rector of the cathedral is George Morales vicar general of the diocese The church itself features the longest Holy Week procession in the province of Cavite with at least    floats and the country  th longest overall the other four being the St Augustine Parish Baliuag and San Isidro Labrador Pulilan both located in the province of Bulacan with at least     floats per parish The Our Lady Of the Abandoned in Marikina with    floats and The Our Lady of Aranzazu San Mateo Rizal with    floats Currently the cathedral is being elevated into Cathedral Shrine   It is an exponent of old Hispanic Architecture and exudes an ambiance conducive to monastic life and spiritual meditation The colors may have darkened with time nevertheless one would not fail to notice the red colored bricks that make up the arches and walls of the place Latin inscription accentuate the arches of the church The seventh and last church we visited during our visita iglesia was the Cathedral of Our Lady of the Pillar Catedral de Nuestra Señora del Pilar in Imus City Started by Augustinian Recollect Fr Nicolás Becerra parish priest from      to      in      using forced labor the cathedral belfry and the convent took more half a century to finish On April         when the Diocese of Imus was erected the convent became the bishop s residence On November         the cathedral was designated as a Marked Structure of Historical Significance by the then National Historical Institute of the Philippines now the National Historical Commission of the Philippines This   th century church located at the boundary of Bayan Luma and Bucandala has three naves The cathedral is    m     ft long    m     ft wide    m     ft high and has    m    ft wide nave Its imposing two level tuft stone and brick Baroque facade with its dark and subdued colors was patterned after the fifth Manila Cathedral by Fr Juan de Uguccioni which existed from      to      It has a segmental arch main entrance flanked by rectangular and semicircular arch windows and superpositioned flat columns in pairs The pediment with its statued niche flows down into scrolls Latin inscriptions accentuate the arches The three storey square bell tower on the church s right is topped by a dome Inside are tall stained glass windows and a unique rendition of the Stations of the Cross using wooden carvings showing the hands of Christ
Museo De La Salle,The Museo de La Salle located within the campus of the De La Salle University Dasmari as is a unique cultural cross disciplinary institution serving as a permanent museum of the De La Salle University System As a resource center for both indoor and outdoor collections it dedicates itself to the gathering of collectible objects of intrinsic value significant to the preservation of certain aspects of the Philippine ilustrado lifestyle The Museo De La Salle is a building designed after the   th century Bahay na Bato and depicts the lifestyle of the Ilustrados at the time It houses antiques from the time period as well as serves as a venue for educational tours lectures on history art exhbits and other cultural events The museum is a mix collection of furniture family portraits memorabilia books religious items stuffed animals period costumes Museo De La Salle is primarily for the collection of   th to early   th century art pieces furniture among others Some of the collections are donated to the museum while some collections are on loan from the owners
Patungan Beach Cove,While Patungan Beach Cove may not be your usual white sand beach destination its waters remain ideal for swimming The destination itself is also surrounded by scenic views of nearby hills which make for great photos Guests can choose to rent a cottage for a day of basking under the sun while enjoying fresh seafood dishes Other activities beach goers can expect to enjoy include fish feeding cliff diving bonfire and videoke Recently island hopping has also become popular due to the clear waters of its neighboring islands With the guidance from locals island hopping tours take you around nearby rock formations and the white beaches of Mugiw Island Carabao Island and Crocodile Island all in one day These islands offer pristine waters friendly accommodations and a charming vibe that will make you feel like you re hours away from the city Patungan Beach Resort or Patungan Beach Cove is located in Barangay Sta Mercedes Maragondon Cavite The place is blessed with natural beauty because of the mountains on both sides From the shore the panoramic view is breathtaking The fine grained sand even though not as white as I expected is very ideal for swimming The seawater on the other hand is not clear due to the sand particles The beach itself is naturally charming However it is not free from dirt and trash which are not very pleasing to the beach visitors The residents must take extra effort in cleaning the place to maintain its natural beauty since tourism is another source of their livelihood aside from fishing I suggest that beachgoers should refrain from eating near the beach and avoid throwing trash in the water Another thing is that karaoke sounds should not be in full volume so as not to disturb other guests who want to have relaxation One of the best places to relax and unwind This beach is not yet known to many it s located in Maragondon Cavite not too far away from the city of Manila You can get there in less than two hours It s a perfect getaway for those who just want to relax and be away from the hustle of the city A public beach with one of the clearest of waters is also surrounded by scenic views of nearby hills neighboring islands and more Aside from the beach there are also other activities you can do like cliff diving fish feeding videoke bonfire and more This beach is also considered to be a fisherman s paradise where the abundance of food and livelihood is dependent on its surrounding waters You can expect to eat many delicious seafood dishes
Museo Orlina,Museo Orlina is the showcase of the artistry of internationally acclaimed Ramon Orlina pioneer and foremost practitioner of glass sculpture in the country Before Orlina glass was largely appreciated only for its utilitarian function as drinking vessels window glass panes or automotive windshields A visionary Orlina saw beyond the humble origin of this industrial glass residue The result is an exultant body of works that through the decades have dazzled the art scene and prized by numerous collectors Triumphantly Orlina has transformed the medium by elevating it to the dignity and respectability of art The Museo Orlina opens its door to the public where they can view superb examples of Ramon Orlina s scintillating artistry to their delight and enchantment Orlina s contribution to society both to its spirit and the economy is witnessed by the major commissions he has received The first ARCANUM XIX Paradise Gained greeted me in the foyer of the Silahis Hotel on the first day of my first visit to the Philippines in      In the     s few large scale contemporary glass works existed anywhere in the world This work gave the lie to the popular notion that contemporary glass was a creature of Europe and North America Focused on the art of Filipino sculptor Ramon Orlina known for his glass sculptures Museo Orlina sits atop Tagaytay Ridge with views across Lake Taal and its miniature volcano Over five storeys and a sculpture garden the museum explores Orlina s work including scale models of monumental pieces It also displays other local artists A visit to Tagaytay is not complete without a stop at Museo Orlina From a beautiful point above Taal Lake and volcano this small museum houses the artist Ramon Orlina s collection of his work An architect turned sculptor Orlina s glass sculptures are a yin yang of smooth and jagged sinuous and craggy The museum has four levels named after each of his children A rooftop deck offers a splendid view of the azure lake Lunch at one of the nearby restaurants and a visit to the museum make a perfect afternoon excursion from Manila
Cuenca Ancestral House,It was in the residence of Juan Cuenca and Candida Chaves in Bacoor Cavite that President Emilio Aguinaldo transferred the seat of the revolutionary government on July         from the town of Cavite as they closed in on the Spanish Army in Manila The government remained in the house until it transferred to Malolos on September         For more on Cavite read Around historic Cavite The First Malacañang of the Republic of the Philippines This is the residence of Juan Cuenca and Candida Chaves popularly known as Bahay na Tisa where Gen Emilio Aguinaldo stayed for three months which served as headquarters of the revolutionary government Everything that happened in Bahay na Tisa and in Bacoor in general was believed to have contributed to the events that transpired in the Malolos Convention indeed a historical treasure of BacoorAlso known as Bahay na Tisa Cuenca Ancestral House was the temporary residence of Gen Emilio Aguinaldo before he moved his office to Malolos Bulacan The house s architecture features Spanish designs while the roofing is made from baked clay It is one of the historical tourist attractions in Cavite
